Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
24TH AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,2,2,0,09/04/2007,N
E JOHN ST AND E JOHN SR ST,4,2,0,02/09/2008,N
10TH AVE S AND S KENYON ST,2,2,0,07/06/2013,N
GREENWOOD AVE N BETWEEN N 46TH S ST AND N 46TH N ST,0,0,0,26/05/2011,N
12TH AVE AND E MADISON ST,2,2,0,18/10/2015,N
FAIRVIEW AVE N BETWEEN ROY ST AND VALLEY ST,3,3,2,04/10/2007,N
PHINNEY AVE N BETWEEN N 40TH ST AND N 41ST ST,3,3,0,24/09/2011,N
WARREN AVE N BETWEEN MERCER ST AND ROY ST,0,0,0,04/11/2011,N
15TH AVE W BETWEEN W BLAINE ST AND W HOWE ST,2,2,0,11/06/2010,N
PHINNEY AVE N BETWEEN N 54TH ST AND N 55TH ST,2,2,0,07/07/2006,N
S EDMUNDS ST BETWEEN 35TH AVE S AND 37TH AVE S,2,2,0,13/06/2007,N
S COLUMBIAN WAY AND S SPOKANE ST,2,2,0,28/02/2014,N
N 145TH ST BETWEEN GREENWOOD AVE N AND PHINNEY AVE N,3,2,0,12/09/2006,N
3RD AVE NW AND NW 85TH ST,2,2,0,13/06/2015,N
ALKI AVE SW BETWEEN 57TH AVE SW AND 58TH AVE SW,5,2,0,31/08/2013,N
LATONA AVE NE BETWEEN WOODLAWN N AVE NE AND NE 75TH ST,2,2,0,15/12/2014,N
UNIVERSITY BR BETWEEN POINT B AND EASTLAKE AVE NE,1,1,1,30/09/2009,N
S GRAHAM ST BETWEEN 33RD AVE S AND M L KING JR WR WAY S,4,2,0,23/10/2008,N
37TH AVE S BETWEEN S THISTLE ST AND S CLOVERDALE ST,2,2,0,16/02/2014,N
NE 145TH ST BETWEEN 5TH AVE NE AND 6TH AVE NE,1,1,0,12/08/2015,N
RAINIER AVE S BETWEEN S ALASKA ST AND S ANGELINE ST,4,2,1,22/12/2007,N
NW MARKET ST BETWEEN BALLARD AVE NW AND 24TH AVE NW,2,2,0,19/05/2015,Y
MERIDIAN AVE N AND N 42ND ST,0,0,0,21/09/2009,N
MERCER ST BETWEEN 4TH AVE N AND 5TH AVE N,4,3,1,10/10/2004,N
3RD AVE NW AND NW 132ND ST,3,2,1,04/11/2012,N
42ND AVE SW BETWEEN SW OREGON ST AND SW ALASKA ST,0,0,0,13/09/2010,N
8TH AVE NW BETWEEN NW 78TH ST AND NW 79TH ST,3,3,0,24/02/2006,N
1ST AVE S BETWEEN S MASSACHUSETTS ST AND S HOLGATE ST,1,1,0,07/04/2012,N
4TH AVE S BETWEEN S HOLGATE ST AND S WALKER ST,2,2,0,04/09/2014,N
38TH AVE S AND S HOLLY ST,2,2,0,14/04/2015,N
FAIRVIEW AVE N AND REPUBLICAN ST,2,1,1,19/05/2008,N
WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,0,0,0,22/10/2008,N
